 XAxis = ,-196.00, YAxis = ,-290.00, Heading = ,4.12, Degress = ,235.95
 XAxis = ,-168.00, YAxis = ,-318.00, Heading = ,4.23, Degress = ,242.15
 XAxis = ,-134.00, YAxis = ,-317.00, Heading = ,4.31, Degress = ,247.09
 XAxis = ,-155.00, YAxis = ,-290.00, Heading = ,4.22, Degress = ,241.88
 XAxis = ,-124.00, YAxis = ,-308.00, Heading = ,4.33, Degress = ,248.07
 XAxis = ,-145.00, YAxis = ,-282.00, Heading = ,4.24, Degress = ,242.79
 XAxis = ,-200.00, YAxis = ,-327.00, Heading = ,4.16, Degress = ,238.55
 XAxis = ,-160.00, YAxis = ,-298.00, Heading = ,4.22, Degress = ,241.77
 XAxis = ,-118.00, YAxis = ,-300.00, Heading = ,4.34, Degress = ,248.53
 XAxis = ,-160.00, YAxis = ,-319.00, Heading = ,4.25, Degress = ,243.36
 XAxis = ,-159.00, YAxis = ,-253.00, Heading = ,4.15, Degress = ,237.85
 XAxis = ,-155.00, YAxis = ,-260.00, Heading = ,4.17, Degress = ,239.20
 XAxis = ,-141.00, YAxis = ,-277.00, Heading = ,4.24, Degress = ,243.02
 XAxis = ,-146.00, YAxis = ,-306.00, Heading = ,4.27, Degress = ,244.49
 XAxis = ,-118.00, YAxis = ,-314.00, Heading = ,4.35, Degress = ,249.40
 XAxis = ,-155.00, YAxis = ,-269.00, Heading = ,4.19, Degress = ,240.05
 XAxis = ,-157.00, YAxis = ,-307.00, Heading = ,4.24, Degress = ,242.91
 XAxis = ,-155.00, YAxis = ,-327.00, Heading = ,4.27, Degress = ,244.64
 XAxis = ,-89.00, YAxis = ,-322.00, Heading = ,4.44, Degress = ,254.55
 XAxis = ,-163.00, YAxis = ,-305.00, Heading = ,4.22, Degress = ,241.88
 XAxis = ,-118.00, YAxis = ,-298.00, Heading = ,4.34, Degress = ,248.40
 XAxis = ,-174.00, YAxis = ,-332.00, Heading = ,4.23, Degress = ,242.34
 XAxis = ,-213.00, YAxis = ,-282.00, Heading = ,4.07, Degress = ,232.94
 XAxis = ,-155.00, YAxis = ,-279.00, Heading = ,4.21, Degress = ,240.95
 XAxis = ,-145.00, YAxis = ,-310.00, Heading = ,4.27, Degress = ,244.93
 XAxis = ,-141.00, YAxis = ,-314.00, Heading = ,4.29, Degress = ,245.82
